animal	treatment	genetics	tank	dose	TE	Binary							
1	3	3	6	1	6	1							
2	3	3	6	1	6	0							
3	3	3	6	1	6	0							
4	3	3	6	1	6	0							
5	3	3	6	1	6	0							
6	3	3	6	1	6	0							
7	3	3	6	1	6	0							
8	3	3	6	1	6	0							
9	3	3	6	1	6	0							
10	3	3	6	1	6	0							
11	3	3	6	1	6	0							
12	3	3	6	1	6	0							
13	3	3	6	1	6	0							
14	3	3	6	1	6	0							
15	3	3	6	1	6	0							
16	3	3	6	1	6	0							
17	3	3	6	1	6	0							
18	3	3	6	1	6	0							
19	3	3	6	1	6	0							
20	3	3	6	1	6	0							
21	3	3	6	1	6	0							
22	3	3	6	1	6	0							
23	3	3	6	1	6	0							
24	3	3	6	1	6	0							
25	3	3	6	1	6	0							
26	3	3	6	1	6	0							
27	3	3	6	1	6	0							
28	3	3	6	1	6	0							
29	3	3	6	1	6	0							
30	3	3	6	1	6	0							
31	3	3	6	1	6	0							
32	3	3	6	1	6	0							
33	3	3	6	1	6	0							
34	3	3	6	1	6	0							
35	3	3	6	1	6	0							
36	3	3	6	1	6	0							
37	3	3	6	1	6	0							
38	3	3	6	1	6	0							
39	3	3	6	1	6	0							
40	3	3	6	1	6	0							
41	3	3	6	1	6	0							
42	3	3	6	1	6	0							
43	3	3	6	1	6	0							
44	3	3	6	1	6	0							
45	3	3	6	1	6	0							
46	3	3	6	1	6	0							
47	3	3	6	1	6	0							
48	3	3	6	1	6	0							
49	1	1	7	2	3	1							
50	1	1	7	2	3	1							
51	1	1	7	2	3	1							
52	1	1	7	2	3	1							
53	1	1	7	2	3	1							
54	1	1	7	2	4	1							
55	1	1	7	2	4	1							
56	1	1	7	2	4	1							
57	1	1	7	2	4	1							
58	1	1	7	2	4	1							
59	1	1	7	2	4	1							
60	1	1	7	2	4	1							
61	1	1	7	2	4	1							
62	1	1	7	2	5	1							
63	1	1	7	2	5	1							
64	1	1	7	2	5	1							
65	1	1	7	2	5	1							
66	1	1	7	2	5	1							
67	1	1	7	2	5	1							
68	1	1	7	2	5	1							
69	1	1	7	2	5	1							
70	1	1	7	2	6	0							
71	1	1	7	2	6	0							
72	1	1	7	2	6	0							
73	1	1	7	2	6	0							
74	1	1	7	2	6	0							
75	1	1	7	2	6	0							
76	1	1	7	2	6	0							
77	1	1	7	2	6	0							
78	1	1	7	2	6	0							
79	1	1	7	2	6	0							
80	1	1	7	2	6	0							
81	1	1	7	2	6	0							
82	1	1	7	2	6	0							
83	1	1	7	2	6	0							
84	1	1	7	2	6	0							
85	1	1	7	2	6	0							
86	1	1	7	2	6	0							
87	1	1	7	2	6	0							
88	1	1	7	2	6	0							
89	1	1	7	2	6	0							
90	1	1	7	2	6	0							
91	1	1	7	2	6	0							
92	1	1	7	2	6	0							
93	1	1	7	2	6	0							
94	1	1	7	2	6	0							
95	1	1	7	2	6	0							
96	1	1	7	2	6	0							
97	1	2	8	2	3	1							
98	1	2	8	2	3	1							
99	1	2	8	2	3	1							
100	1	2	8	2	3	1							
101	1	2	8	2	3	1							
102	1	2	8	2	3	1							
103	1	2	8	2	3	1							
104	1	2	8	2	3	1							
105	1	2	8	2	3	1							
106	1	2	8	2	3	1							
107	1	2	8	2	3	1							
108	1	2	8	2	3	1							
109	1	2	8	2	3	1							
110	1	2	8	2	3	1							
111	1	2	8	2	3	1							
112	1	2	8	2	3	1							
113	1	2	8	2	4	1							
114	1	2	8	2	4	1							
115	1	2	8	2	4	1							
116	1	2	8	2	4	1							
117	1	2	8	2	5	1							
118	1	2	8	2	5	1							
119	1	2	8	2	5	1							
120	1	2	8	2	5	1							
121	1	2	8	2	5	1							
122	1	2	8	2	5	1							
123	1	2	8	2	5	1							
124	1	2	8	2	5	1							
125	1	2	8	2	5	1							
126	1	2	8	2	5	1							
127	1	2	8	2	5	1							
128	1	2	8	2	5	1							
129	1	2	8	2	6	0							
130	1	2	8	2	6	0							
131	1	2	8	2	6	0							
132	1	2	8	2	6	0							
133	1	2	8	2	6	0							
134	1	2	8	2	6	0							
135	1	2	8	2	6	0							
136	1	2	8	2	6	0							
137	1	2	8	2	6	0							
138	1	2	8	2	6	0							
139	1	2	8	2	6	0							
140	1	2	8	2	6	0							
141	1	2	8	2	6	0							
142	1	2	8	2	6	0							
143	1	2	8	2	6	0							
144	1	2	8	2	6	0							
145	1	2	9	2	3	1							
146	1	2	9	2	3	1							
147	1	2	9	2	3	1							
148	1	2	9	2	3	1							
149	1	2	9	2	3	1							
150	1	2	9	2	3	1							
151	1	2	9	2	3	1							
152	1	2	9	2	3	1							
153	1	2	9	2	3	1							
154	1	2	9	2	3	1							
155	1	2	9	2	3	1							
156	1	2	9	2	3	1							
157	1	2	9	2	3	1							
158	1	2	9	2	4	1							
159	1	2	9	2	4	1							
160	1	2	9	2	4	1							
161	1	2	9	2	4	1							
162	1	2	9	2	4	1							
163	1	2	9	2	5	1							
164	1	2	9	2	5	1							
165	1	2	9	2	5	1							
166	1	2	9	2	5	1							
167	1	2	9	2	5	1							
168	1	2	9	2	5	1							
169	1	2	9	2	5	1							
170	1	2	9	2	5	1							
171	1	2	9	2	6	0							
172	1	2	9	2	6	0							
173	1	2	9	2	6	0							
174	1	2	9	2	6	0							
175	1	2	9	2	6	0							
176	1	2	9	2	6	0							
177	1	2	9	2	6	0							
178	1	2	9	2	6	0							
179	1	2	9	2	6	0							
180	1	2	9	2	6	0							
181	1	2	9	2	6	0							
182	1	2	9	2	6	0							
183	1	2	9	2	6	0							
184	1	2	9	2	6	0							
185	1	2	9	2	6	0							
186	1	2	9	2	6	0							
187	1	2	9	2	6	0							
188	1	2	9	2	6	0							
189	1	2	9	2	6	0							
190	1	2	9	2	6	0							
191	1	2	9	2	6	0							
192	1	2	9	2	6	0							
193	1	2	10	2	3	1							
194	1	2	10	2	3	1							
195	1	2	10	2	3	1							
196	1	2	10	2	3	1							
197	1	2	10	2	3	1							
198	1	2	10	2	3	1							
199	1	2	10	2	3	1							
200	1	2	10	2	3	1							
201	1	2	10	2	3	1							
202	1	2	10	2	3	1							
203	1	2	10	2	3	1							
204	1	2	10	2	3	1							
205	1	2	10	2	3	1							
206	1	2	10	2	3	1							
207	1	2	10	2	3	1							
208	1	2	10	2	3	1							
209	1	2	10	2	3	1							
210	1	2	10	2	4	1							
211	1	2	10	2	4	1							
212	1	2	10	2	4	1							
213	1	2	10	2	4	1							
214	1	2	10	2	4	1							
215	1	2	10	2	4	1							
216	1	2	10	2	4	1							
217	1	2	10	2	4	1							
218	1	2	10	2	4	1							
219	1	2	10	2	5	1							
220	1	2	10	2	5	1							
221	1	2	10	2	5	1							
222	1	2	10	2	5	1							
223	1	2	10	2	5	1							
224	1	2	10	2	5	1							
225	1	2	10	2	5	1							
226	1	2	10	2	5	1							
227	1	2	10	2	5	1							
228	1	2	10	2	6	0							
229	1	2	10	2	6	0							
230	1	2	10	2	6	0							
231	1	2	10	2	6	0							
232	1	2	10	2	6	0							
233	1	2	10	2	6	0							
234	1	2	10	2	6	0							
235	1	2	10	2	6	0							
236	1	2	10	2	6	0							
237	1	2	10	2	6	0							
238	1	2	10	2	6	0							
239	1	2	10	2	6	0							
240	1	2	10	2	6	0							
241	1	1	11	2	3	1							
