animal	treatment	genetics	tank	dose	TE	Binary							
1	C	1	7	2	3	1							
2	C	1	7	2	3	1							
3	C	1	7	2	3	1							
4	C	1	7	2	3	1							
5	C	1	7	2	3	1							
6	C	1	7	2	4	1							
7	C	1	7	2	4	1							
8	C	1	7	2	4	1							
9	C	1	7	2	4	1							
10	C	1	7	2	4	1							
11	C	1	7	2	4	1							
12	C	1	7	2	4	1							
13	C	1	7	2	4	1							
14	C	1	7	2	5	1							
15	C	1	7	2	5	1							
16	C	1	7	2	5	1							
17	C	1	7	2	5	1							
18	C	1	7	2	5	1							
19	C	1	7	2	5	1							
20	C	1	7	2	5	1							
21	C	1	7	2	5	1							
22	C	1	7	2	6	0							
23	C	1	7	2	6	0							
24	C	1	7	2	6	0							
25	C	1	7	2	6	0							
26	C	1	7	2	6	0							
27	C	1	7	2	6	0							
28	C	1	7	2	6	0							
29	C	1	7	2	6	0							
30	C	1	7	2	6	0							
31	C	1	7	2	6	0							
32	C	1	7	2	6	0							
33	C	1	7	2	6	0							
34	C	1	7	2	6	0							
35	C	1	7	2	6	0							
36	C	1	7	2	6	0							
37	C	1	7	2	6	0							
38	C	1	7	2	6	0							
39	C	1	7	2	6	0							
40	C	1	7	2	6	0							
41	C	1	7	2	6	0							
42	C	1	7	2	6	0							
43	C	1	7	2	6	0							
44	C	1	7	2	6	0							
45	C	1	7	2	6	0							
46	C	1	7	2	6	0							
47	C	1	7	2	6	0							
48	C	1	7	2	6	0							
49	C	2	8	2	3	1							
50	C	2	8	2	3	1							
51	C	2	8	2	3	1							
52	C	2	8	2	3	1							
53	C	2	8	2	3	1							
54	C	2	8	2	3	1							
55	C	2	8	2	3	1							
56	C	2	8	2	3	1							
57	C	2	8	2	3	1							
58	C	2	8	2	3	1							
59	C	2	8	2	3	1							
60	C	2	8	2	3	1							
61	C	2	8	2	3	1							
62	C	2	8	2	3	1							
63	C	2	8	2	3	1							
64	C	2	8	2	3	1							
65	C	2	8	2	4	1							
66	C	2	8	2	4	1							
67	C	2	8	2	4	1							
68	C	2	8	2	4	1							
69	C	2	8	2	5	1							
70	C	2	8	2	5	1							
71	C	2	8	2	5	1							
72	C	2	8	2	5	1							
73	C	2	8	2	5	1							
74	C	2	8	2	5	1							
75	C	2	8	2	5	1							
76	C	2	8	2	5	1							
77	C	2	8	2	5	1							
78	C	2	8	2	5	1							
79	C	2	8	2	5	1							
80	C	2	8	2	5	1							
81	C	2	8	2	6	0							
82	C	2	8	2	6	0							
83	C	2	8	2	6	0							
84	C	2	8	2	6	0							
85	C	2	8	2	6	0							
86	C	2	8	2	6	0							
87	C	2	8	2	6	0							
88	C	2	8	2	6	0							
89	C	2	8	2	6	0							
90	C	2	8	2	6	0							
91	C	2	8	2	6	0							
92	C	2	8	2	6	0							
93	C	2	8	2	6	0							
94	C	2	8	2	6	0							
95	C	2	8	2	6	0							
96	C	2	8	2	6	0							
97	C	2	9	2	3	1							
98	C	2	9	2	3	1							
99	C	2	9	2	3	1							
100	C	2	9	2	3	1							
101	C	2	9	2	3	1							
102	C	2	9	2	3	1							
103	C	2	9	2	3	1							
104	C	2	9	2	3	1							
105	C	2	9	2	3	1							
106	C	2	9	2	3	1							
107	C	2	9	2	3	1							
108	C	2	9	2	3	1							
109	C	2	9	2	3	1							
110	C	2	9	2	4	1							
111	C	2	9	2	4	1							
112	C	2	9	2	4	1							
113	C	2	9	2	4	1							
114	C	2	9	2	4	1							
115	C	2	9	2	5	1							
116	C	2	9	2	5	1							
117	C	2	9	2	5	1							
118	C	2	9	2	5	1							
119	C	2	9	2	5	1							
120	C	2	9	2	5	1							
121	C	2	9	2	5	1							
122	C	2	9	2	5	1							
123	C	2	9	2	6	0							
124	C	2	9	2	6	0							
125	C	2	9	2	6	0							
126	C	2	9	2	6	0							
127	C	2	9	2	6	0							
128	C	2	9	2	6	0							
129	C	2	9	2	6	0							
130	C	2	9	2	6	0							
131	C	2	9	2	6	0							
132	C	2	9	2	6	0							
133	C	2	9	2	6	0							
134	C	2	9	2	6	0							
135	C	2	9	2	6	0							
136	C	2	9	2	6	0							
137	C	2	9	2	6	0							
138	C	2	9	2	6	0							
139	C	2	9	2	6	0							
140	C	2	9	2	6	0							
141	C	2	9	2	6	0							
142	C	2	9	2	6	0							
143	C	2	9	2	6	0							
144	C	2	9	2	6	0							
145	C	2	10	2	3	1							
146	C	2	10	2	3	1							
147	C	2	10	2	3	1							
148	C	2	10	2	3	1							
149	C	2	10	2	3	1							
150	C	2	10	2	3	1							
151	C	2	10	2	3	1							
152	C	2	10	2	3	1							
153	C	2	10	2	3	1							
154	C	2	10	2	3	1							
155	C	2	10	2	3	1							
156	C	2	10	2	3	1							
157	C	2	10	2	3	1							
158	C	2	10	2	3	1							
159	C	2	10	2	3	1							
160	C	2	10	2	3	1							
161	C	2	10	2	3	1							
162	C	2	10	2	4	1							
163	C	2	10	2	4	1							
164	C	2	10	2	4	1							
165	C	2	10	2	4	1							
166	C	2	10	2	4	1							
167	C	2	10	2	4	1							
168	C	2	10	2	4	1							
169	C	2	10	2	4	1							
170	C	2	10	2	4	1							
171	C	2	10	2	5	1							
172	C	2	10	2	5	1							
173	C	2	10	2	5	1							
174	C	2	10	2	5	1							
175	C	2	10	2	5	1							
176	C	2	10	2	5	1							
177	C	2	10	2	5	1							
178	C	2	10	2	5	1							
179	C	2	10	2	5	1							
180	C	2	10	2	6	0							
181	C	2	10	2	6	0							
182	C	2	10	2	6	0							
183	C	2	10	2	6	0							
184	C	2	10	2	6	0							
185	C	2	10	2	6	0							
186	C	2	10	2	6	0							
187	C	2	10	2	6	0							
188	C	2	10	2	6	0							
189	C	2	10	2	6	0							
190	C	2	10	2	6	0							
191	C	2	10	2	6	0							
192	C	2	10	2	6	0							
193	C	1	11	2	3	1							
194	C	1	11	2	3	1							
195	C	1	11	2	3	1							
196	C	1	11	2	3	1							
197	C	1	11	2	3	1							
198	C	1	11	2	3	1							
199	C	1	11	2	3	1							
200	C	1	11	2	3	1							
201	C	1	11	2	3	1							
202	C	1	11	2	3	1							
203	C	1	11	2	3	1							
204	C	1	11	2	3	1							
205	C	1	11	2	3	1							
206	C	1	11	2	4	1							
207	C	1	11	2	4	1							
208	C	1	11	2	4	1							
209	C	1	11	2	4	1							
210	C	1	11	2	4	1							
211	C	1	11	2	4	1							
212	C	1	11	2	4	1							
213	C	1	11	2	4	1							
214	C	1	11	2	4	1							
215	C	1	11	2	5	1							
216	C	1	11	2	5	1							
217	C	1	11	2	5	1							
218	C	1	11	2	5	1							
219	C	1	11	2	5	1							
220	C	1	11	2	5	1							
221	C	1	11	2	5	1							
222	C	1	11	2	5	1							
223	C	1	11	2	5	1							
224	C	1	11	2	5	1							
225	C	1	11	2	5	1							
226	C	1	11	2	6	0							
227	C	1	11	2	6	0							
228	C	1	11	2	6	0							
229	C	1	11	2	6	0							
230	C	1	11	2	6	0							
231	C	1	11	2	6	0							
232	C	1	11	2	6	0							
233	C	1	11	2	6	0							
234	C	1	11	2	6	0							
235	C	1	11	2	6	0							
236	C	1	11	2	6	0							
237	C	1	11	2	6	0							
238	C	1	11	2	6	0							
239	C	1	11	2	6	0							
240	C	1	11	2	6	0							
241	C	1	12	2	3	1							
242	C	1	12	2	3	1							
243	C	1	12	2	3	1							
244	C	1	12	2	3	1							
245	C	1	12	2	3	1							
246	C	1	12	2	3	1							
247	C	1	12	2	3	1							
248	C	1	12	2	3	1							
249	C	1	12	2	3	1							
250	C	1	12	2	3	1							
251	C	1	12	2	3	1							
252	C	1	12	2	4	1							
253	C	1	12	2	4	1							
254	C	1	12	2	4	1							
255	C	1	12	2	4	1							
256	C	1	12	2	4	1							
257	C	1	12	2	4	1							
258	C	1	12	2	4	1							
259	C	1	12	2	4	1							
260	C	1	12	2	4	1							
261	C	1	12	2	4	1							
262	C	1	12	2	4	1							
263	C	1	12	2	5	1							
264	C	1	12	2	5	1							
265	C	1	12	2	5	1							
266	C	1	12	2	5	1							
267	C	1	12	2	5	1							
268	C	1	12	2	5	1							
269	C	1	12	2	5	1							
270	C	1	12	2	5	1							
271	C	1	12	2	5	1							
272	C	1	12	2	5	1							
273	C	1	12	2	5	1							
274	C	1	12	2	5	1							
275	C	1	12	2	5	1							
276	C	1	12	2	5	1							
277	C	1	12	2	5	1							
278	C	1	12	2	5	1							
279	C	1	12	2	5	1							
280	C	1	12	2	6	0							
281	C	1	12	2	6	0							
282	C	1	12	2	6	0							
283	C	1	12	2	6	0							
284	C	1	12	2	6	0							
285	C	1	12	2	6	0							
286	C	1	12	2	6	0							
287	C	1	12	2	6	0							
288	C	1	12	2	6	0							
289	B	1	13	2	3	1							
290	B	1	13	2	3	1							
291	B	1	13	2	3	1							
292	B	1	13	2	3	1							
293	B	1	13	2	3	1							
294	B	1	13	2	3	1							
295	B	1	13	2	3	1							
296	B	1	13	2	3	1							
297	B	1	13	2	3	1							
298	B	1	13	2	4	1							
299	B	1	13	2	4	1							
300	B	1	13	2	4	1							
301	B	1	13	2	4	1							
302	B	1	13	2	4	1							
303	B	1	13	2	4	1							
304	B	1	13	2	4	1							
305	B	1	13	2	4	1							
306	B	1	13	2	4	1							
307	B	1	13	2	4	1							
308	B	1	13	2	4	1							
309	B	1	13	2	5	1							
310	B	1	13	2	5	1							
311	B	1	13	2	5	1							
312	B	1	13	2	5	1							
313	B	1	13	2	5	1							
314	B	1	13	2	5	1							
315	B	1	13	2	5	1							
316	B	1	13	2	5	1							
317	B	1	13	2	5	1							
318	B	1	13	2	5	1							
319	B	1	13	2	5	1							
320	B	1	13	2	5	1							
321	B	1	13	2	5	1							
322	B	1	13	2	5	1							
323	B	1	13	2	5	1							
324	B	1	13	2	6	0							
325	B	1	13	2	6	0							
326	B	1	13	2	6	0							
327	B	1	13	2	6	0							
328	B	1	13	2	6	0							
329	B	1	13	2	6	0							
330	B	1	13	2	6	0							
331	B	1	13	2	6	0							
332	B	1	13	2	6	0							
333	B	1	13	2	6	0							
334	B	1	13	2	6	0							
335	B	1	13	2	6	0							
336	B	1	13	2	6	0							
337	B	1	14	2	3	1							
338	B	1	14	2	3	1							
339	B	1	14	2	3	1							
340	B	1	14	2	3	1							
341	B	1	14	2	3	1							
342	B	1	14	2	3	1							
343	B	1	14	2	4	1							
344	B	1	14	2	4	1							
345	B	1	14	2	4	1							
346	B	1	14	2	4	1							
347	B	1	14	2	4	1							
348	B	1	14	2	4	1							
349	B	1	14	2	4	1							
350	B	1	14	2	4	1							
351	B	1	14	2	4	1							
352	B	1	14	2	4	1							
353	B	1	14	2	4	1							
354	B	1	14	2	4	1							
355	B	1	14	2	4	1							
356	B	1	14	2	4	1							
357	B	1	14	2	4	1							
358	B	1	14	2	4	1							
359	B	1	14	2	5	1							
360	B	1	14	2	5	1							
361	B	1	14	2	5	1							
362	B	1	14	2	5	1							
363	B	1	14	2	5	1							
364	B	1	14	2	5	1							
365	B	1	14	2	5	1							
366	B	1	14	2	5	1							
367	B	1	14	2	5	1							
368	B	1	14	2	5	1							
369	B	1	14	2	5	1							
370	B	1	14	2	5	1							
371	B	1	14	2	6	0							
372	B	1	14	2	6	0							
373	B	1	14	2	6	0							
374	B	1	14	2	6	0							
375	B	1	14	2	6	0							
376	B	1	14	2	6	0							
377	B	1	14	2	6	0							
378	B	1	14	2	6	0							
379	B	1	14	2	6	0							
380	B	1	14	2	6	0							
381	B	1	14	2	6	0							
382	B	1	14	2	6	0							
383	B	1	14	2	6	0							
384	B	1	14	2	6	0							
385	B	2	15	2	3	1							
386	B	2	15	2	3	1							
387	B	2	15	2	3	1							
388	B	2	15	2	3	1							
389	B	2	15	2	3	1							
390	B	2	15	2	4	1							
391	B	2	15	2	4	1							
392	B	2	15	2	4	1							
393	B	2	15	2	4	1							
394	B	2	15	2	4	1							
395	B	2	15	2	4	1							
396	B	2	15	2	4	1							
397	B	2	15	2	4	1							
398	B	2	15	2	4	1							
399	B	2	15	2	4	1							
400	B	2	15	2	4	1							
401	B	2	15	2	4	1							
402	B	2	15	2	4	1							
403	B	2	15	2	4	1							
404	B	2	15	2	5	1							
405	B	2	15	2	5	1							
406	B	2	15	2	5	1							
407	B	2	15	2	5	1							
408	B	2	15	2	5	1							
409	B	2	15	2	5	1							
410	B	2	15	2	5	1							
411	B	2	15	2	5	1							
412	B	2	15	2	6	0							
413	B	2	15	2	6	0							
414	B	2	15	2	6	0							
415	B	2	15	2	6	0							
416	B	2	15	2	6	0							
417	B	2	15	2	6	0							
418	B	2	15	2	6	0							
419	B	2	15	2	6	0							
420	B	2	15	2	6	0							
421	B	2	15	2	6	0							
422	B	2	15	2	6	0							
423	B	2	15	2	6	0							
424	B	2	15	2	6	0							
425	B	2	15	2	6	0							
426	B	2	15	2	6	0							
427	B	2	15	2	6	0							
428	B	2	15	2	6	0							
429	B	2	15	2	6	0							
430	B	2	15	2	6	0							
431	B	2	15	2	6	0							
432	B	2	15	2	6	0							
433	B	1	16	2	3	1							
434	B	1	16	2	3	1							
435	B	1	16	2	3	1							
436	B	1	16	2	3	1							
437	B	1	16	2	3	1							
438	B	1	16	2	3	1							
439	B	1	16	2	3	1							
440	B	1	16	2	4	1							
441	B	1	16	2	4	1							
442	B	1	16	2	4	1							
443	B	1	16	2	4	1							
444	B	1	16	2	4	1							
445	B	1	16	2	4	1							
446	B	1	16	2	4	1							
447	B	1	16	2	4	1							
448	B	1	16	2	4	1							
449	B	1	16	2	4	1							
450	B	1	16	2	4	1							
451	B	1	16	2	4	1							
452	B	1	16	2	5	1							
453	B	1	16	2	5	1							
454	B	1	16	2	5	1							
455	B	1	16	2	5	1							
456	B	1	16	2	5	1							
457	B	1	16	2	5	1							
458	B	1	16	2	5	1							
459	B	1	16	2	5	1							
460	B	1	16	2	5	1							
461	B	1	16	2	5	1							
462	B	1	16	2	5	1							
463	B	1	16	2	5	1							
464	B	1	16	2	5	1							
465	B	1	16	2	6	0							
466	B	1	16	2	6	0							
467	B	1	16	2	6	0							
468	B	1	16	2	6	0							
469	B	1	16	2	6	0							
470	B	1	16	2	6	0							
471	B	1	16	2	6	0							
472	B	1	16	2	6	0							
473	B	1	16	2	6	0							
474	B	1	16	2	6	0							
475	B	1	16	2	6	0							
476	B	1	16	2	6	0							
477	B	1	16	2	6	0							
478	B	1	16	2	6	0							
479	B	1	16	2	6	0							
480	B	1	16	2	6	0							
481	B	2	17	2	3	1							
482	B	2	17	2	3	1							
483	B	2	17	2	3	1							
484	B	2	17	2	3	1							
485	B	2	17	2	3	1							
486	B	2	17	2	3	1							
487	B	2	17	2	3	1							
488	B	2	17	2	3	1							
489	B	2	17	2	3	1							
490	B	2	17	2	3	1							
491	B	2	17	2	4	1							
492	B	2	17	2	4	1							
493	B	2	17	2	4	1							
494	B	2	17	2	4	1							
495	B	2	17	2	4	1							
496	B	2	17	2	4	1							
497	B	2	17	2	4	1							
498	B	2	17	2	4	1							
499	B	2	17	2	4	1							
500	B	2	17	2	4	1							
501	B	2	17	2	4	1							
502	B	2	17	2	4	1							
503	B	2	17	2	4	1							
504	B	2	17	2	5	1							
505	B	2	17	2	5	1							
506	B	2	17	2	5	1							
507	B	2	17	2	5	1							
508	B	2	17	2	5	1							
509	B	2	17	2	5	1							
510	B	2	17	2	5	1							
511	B	2	17	2	5	1							
512	B	2	17	2	5	1							
513	B	2	17	2	5	1							
514	B	2	17	2	5	1							
515	B	2	17	2	5	1							
516	B	2	17	2	5	1							
517	B	2	17	2	5	1							
518	B	2	17	2	5	1							
519	B	2	17	2	6	0							
520	B	2	17	2	6	0							
521	B	2	17	2	6	0							
522	B	2	17	2	6	0							
523	B	2	17	2	6	0							
524	B	2	17	2	6	0							
525	B	2	17	2	6	0							
526	B	2	17	2	6	0							
527	B	2	17	2	6	0							
528	B	2	17	2	6	0							
529	B	2	18	2	3	1							
530	B	2	18	2	3	1							
531	B	2	18	2	3	1							
532	B	2	18	2	3	1							
533	B	2	18	2	3	1							
534	B	2	18	2	3	1							
535	B	2	18	2	3	1							
536	B	2	18	2	3	1							
537	B	2	18	2	4	1							
538	B	2	18	2	4	1							
539	B	2	18	2	4	1							
540	B	2	18	2	4	1							
541	B	2	18	2	4	1							
542	B	2	18	2	4	1							
543	B	2	18	2	4	1							
544	B	2	18	2	4	1							
545	B	2	18	2	4	1							
546	B	2	18	2	4	1							
547	B	2	18	2	4	1							
548	B	2	18	2	4	1							
549	B	2	18	2	4	1							
550	B	2	18	2	4	1							
551	B	2	18	2	4	1							
552	B	2	18	2	4	1							
553	B	2	18	2	4	1							
554	B	2	18	2	4	1							
555	B	2	18	2	5	1							
556	B	2	18	2	5	1							
557	B	2	18	2	5	1							
558	B	2	18	2	5	1							
559	B	2	18	2	5	1							
560	B	2	18	2	5	1							
561	B	2	18	2	5	1							
562	B	2	18	2	5	1							
563	B	2	18	2	5	1							
564	B	2	18	2	5	1							
565	B	2	18	2	5	1							
566	B	2	18	2	5	1							
567	B	2	18	2	5	1							
568	B	2	18	2	5	1							
569	B	2	18	2	5	1							
570	B	2	18	2	5	1							
571	B	2	18	2	5	1							
572	B	2	18	2	5	1							
573	B	2	18	2	6	0							
574	B	2	18	2	6	0							
575	B	2	18	2	6	0							
576	B	2	18	2	6	0							
577	A	2	19	2	3	1							
578	A	2	19	2	3	1							
579	A	2	19	2	3	1							
580	A	2	19	2	3	1							
581	A	2	19	2	3	1							
582	A	2	19	2	3	1							
583	A	2	19	2	3	1							
584	A	2	19	2	3	1							
585	A	2	19	2	3	1							
586	A	2	19	2	3	1							
587	A	2	19	2	4	1							
588	A	2	19	2	4	1							
589	A	2	19	2	4	1							
590	A	2	19	2	4	1							
591	A	2	19	2	4	1							
592	A	2	19	2	4	1							
593	A	2	19	2	4	1							
594	A	2	19	2	4	1							
595	A	2	19	2	4	1							
596	A	2	19	2	4	1							
597	A	2	19	2	4	1							
598	A	2	19	2	4	1							
599	A	2	19	2	4	1							
600	A	2	19	2	5	1							
601	A	2	19	2	5	1							
602	A	2	19	2	5	1							
603	A	2	19	2	5	1							
604	A	2	19	2	5	1							
605	A	2	19	2	5	1							
606	A	2	19	2	5	1							
607	A	2	19	2	5	1							
608	A	2	19	2	6	0							
609	A	2	19	2	6	0							
610	A	2	19	2	6	0							
611	A	2	19	2	6	0							
612	A	2	19	2	6	0							
613	A	2	19	2	6	0							
614	A	2	19	2	6	0							
615	A	2	19	2	6	0							
616	A	2	19	2	6	0							
617	A	2	19	2	6	0							
618	A	2	19	2	6	0							
619	A	2	19	2	6	0							
620	A	2	19	2	6	0							
621	A	2	19	2	6	0							
622	A	2	19	2	6	0							
623	A	2	19	2	6	0							
624	A	2	19	2	6	0							
625	A	2	20	2	3	1							
626	A	2	20	2	3	1							
627	A	2	20	2	3	1							
628	A	2	20	2	3	1							
629	A	2	20	2	3	1							
630	A	2	20	2	3	1							
631	A	2	20	2	3	1							
632	A	2	20	2	3	1							
633	A	2	20	2	3	1							
634	A	2	20	2	3	1							
635	A	2	20	2	3	1							
636	A	2	20	2	4	1							
637	A	2	20	2	4	1							
638	A	2	20	2	4	1							
639	A	2	20	2	4	1							
